system:index,countries,dfo_id,flood_area_km2_excluding_permanent_water,gfd_id,main_cause,mean_duration_days,severity,start_time,.geo
DFO_1793_From_20010818_to_20011009,"Mali, Mauritania, Guinea, Burkina Faso",1793.0,0.0,1793.0,Heavy rain,,2.0,2001-08-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2311_From_20030805_to_20031012,"Mali, Algeria, Burkina Faso, Nigeria, Niger, Benin",2311.0,0.0,2311.0,Heavy rain,,1.0,2003-08-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2316_From_20030809_to_20031105,"Mali, Mauritania, Western Sahara, Guinea, Ivory Coast, Senegal, Liberia, Guinea-Bissau, Gambia, The, Sierra Leone",2316.0,0.0,2316.0,Heavy rain,,1.0,2003-08-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2320_From_20030810_to_20031019,"Mali, Mauritania, Algeria, Guinea, Burkina Faso, Ivory Coast, Ghana, Nigeria, Niger, Togo, Benin",2320.0,1273.7365356673242,2320.0,Heavy rain,7.322459111389773,1.0,2003-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2576_From_20041007_to_20041104,"Ghana, Nigeria, Togo, Benin",2576.0,121.73748458723985,2576.0,Heavy rain,7.15598337344126,2.0,2004-10-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2947_From_20060803_to_20061011,"Mali, Mauritania, Algeria, Chad, Guinea, Burkina Faso, Ivory Coast, Ghana, Nigeria, Cameroon, Niger, Togo, Benin",2947.0,103.59077539843763,2947.0,Heavy rain,4.70654095462581,1.0,2006-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3151_From_20070804_to_20071021,"Chad, Ghana, Nigeria, Cameroon, Niger, Togo, Benin",3151.0,138.25381533203168,3151.0,Heavy rain,11.650462821062955,1.0,2007-08-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3166_From_20070726_to_20071010,"Mali, Chad, Guinea, Burkina Faso, Ivory Coast, Ghana, Nigeria, Cameroon, Niger, Togo, Benin",3166.0,2035.19004630202,3166.0,Heavy rain,5.293262445438674,1.5,2007-07-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3534_From_20090810_to_20090902,"Mali, Mauritania, Chad, Western Sahara, Guinea, Burkina Faso, Ivory Coast, Ghana, Nigeria, Cameroon, Niger, Senegal, Liberia, Togo, Benin, Guinea-Bissau, Gambia, The, Sierra Leone",3534.0,114.00043641383277,3534.0,Heavy Rain,2.2116203223278763,1.0,2009-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3555_From_20091020_to_20091026,"Ghana, Nigeria, Togo, Benin",3555.0,80.13649478523286,3555.0,Heavy Rain,4.531461030622573,1.0,2009-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3663_From_20100622_to_20100626,"Burkina Faso, Ivory Coast, Ghana",3663.0,280.21304548828107,3663.0,Heavy Rain,1.7448912326961108,1.0,2010-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3747_From_20101105_to_20101111,"Burkina Faso, Ghana, Togo",3747.0,2508.8350359570295,3747.0,Heavy Rain,5.430094873869236,1.5,2010-11-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3872_From_20111026_to_20111029,"Ivory Coast, Ghana",3872.0,61.902581535156145,3872.0,Torrential Rain,3.378243512974052,1.0,2011-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3994_From_20120915_to_20121015,"Mali, Burkina Faso, Nigeria, Niger, Benin",3994.0,0.0,3994.0,Heavy Rain,,1.0,2012-09-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_4175_From_20140813_to_20140819,"Mali, Chad, Nigeria, Cameroon, Niger",4175.0,0.0,4175.0,Heavy Rain,,1.0,2014-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_4683_From_20180901_to_20181002,,4683.0,1805.5360918071037,4683.0,"Heavy Rain, Dam releases",4.359597684668557,1.5,2018-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
